,UBA_GA_02_04_01_000_1_001.txt.ts#0,UBA_GA_02_04_01_000_1_001.txt.ts#1,UBA_GA_02_04_01_000_1_002.txt.ts#0,UBA_GA_02_04_01_000_1_002.txt.ts#1
x_source,0.0,0.0,0.0,0.0
y_source,0.0,0.0,0.0,0.0
z_source,0.0,0.0,0.0,0.0
x_measure,37.5,50.0,37.5,50.0
y_measure,0.0,0.0,0.0,0.0
z_measure,10.0,10.0,10.0,10.0
pressure,101768,101768,101768,101768
temperature,23.0,23.0,23.0,23.0
calibration_curve,,,,
mass_flow_controller,0.300,0.300,0.300,0.300
calibration_factor,1,1,1,1
scaling_factor,0.656868699877201,0.656868699877201,0.656868699877201,0.656868699877201
scale,200,200,200,200
ref_length,0.005,0.005,0.005,0.005
ref_height,,,,
gas_name,C12,C12,C12,C12
mol_weight,28.97,28.97,28.97,28.97
gas_factor,1.0,1.0,1.0,1.0
full_scale_wtref,5.0,5.0,5.0,5.0
full_scale_flow_rate,0.5,0.5,0.5,0.5
full_scale_temp,20,20,20,20
full_scale_pressure,101325,101325,101325,101325
config_name,test,test,test,test
